tam,tiempo,agentes,votos
1,4.111e-06,1,0
1,5.34e-06,2,2
1,4.227e-06,3,4
1,7.362e-06,4,8
1,2.1667e-05,5,12
1,2.626e-05,6,18
1,3.7499e-05,7,24
3,5.7728e-05,8,32
0,4.6091e-05,9,40
0,3.3107e-05,10,50
1,4.4955e-05,11,60
2,0.000146353,12,72
0,5.3293e-05,13,84
0,0.000104958,14,98
0,8.3392e-05,15,112
0,0.000166514,16,128
0,0.000127588,17,144
0,9.9503e-05,18,162
1,0.000148152,19,180
0,0.000112222,20,200
0,0.000105297,21,220
0,0.00010413,22,242
0,0.000104638,23,264
0,0.00012539,24,288
0,0.000202415,25,312
0,0.000181754,26,338
0,0.000164947,27,364
0,0.000162994,28,392
0,0.000254216,29,420
0,0.000166887,30,450
0,0.00031289,31,480
0,0.000244627,32,512
0,0.000233529,33,544
0,0.000250091,34,578
0,0.000259071,35,612
0,0.000241519,36,648
0,0.000271477,37,684
0,0.000325628,38,722
0,0.000279123,39,760
0,0.000300648,40,800
0,0.000347592,41,840
0,0.000380309,42,882
0,0.000369475,43,924
0,0.0003662,44,968
0,0.000372613,45,1012
0,0.000454016,46,1058
0,0.000499997,47,1104
0,0.000455854,48,1152
0,0.000465052,49,1200
0,0.000456722,50,1250
