tam,tiempo,agentes,votos
1,5.077e-06,1,0
2,6.233e-06,2,2
0,1.7051e-05,3,4
2,1.214e-05,4,8
0,2.1358e-05,5,12
2,2.4294e-05,6,18
0,2.6613e-05,7,24
0,2.4525e-05,8,32
1,3.7868e-05,9,40
0,3.3227e-05,10,50
0,0.000105969,11,60
0,5.1943e-05,12,72
1,5.7659e-05,13,84
0,6.3837e-05,14,98
0,7.9929e-05,15,112
0,6.8375e-05,16,128
0,0.000110634,17,144
0,0.000102549,18,162
0,0.000150733,19,180
0,8.5247e-05,20,200
0,0.000127093,21,220
0,0.000227923,22,242
0,0.00013322,23,264
0,0.000138612,24,288
0,0.000216421,25,312
0,0.000208588,26,338
0,0.000134222,27,364
0,0.000147996,28,392
0,0.000291754,29,420
0,0.000177356,30,450
0,0.000223272,31,480
0,0.000211849,32,512
0,0.000238624,33,544
0,0.000214583,34,578
0,0.000252004,35,612
0,0.00032452,36,648
0,0.000291957,37,684
0,0.000304383,38,722
0,0.000348886,39,760
0,0.00036179,40,800
0,0.000321681,41,840
0,0.000401625,42,882
0,0.000394503,43,924
0,0.000469561,44,968
0,0.000409119,45,1012
0,0.00038652,46,1058
0,0.000457131,47,1104
0,0.000455321,48,1152
0,0.000478841,49,1200
0,0.00049449,50,1250
