tam,tiempo,agentes,votos
1,3.434e-06,1,0
1,3.497e-06,2,2
2,3.984e-06,3,4
1,9.823e-06,4,8
1,2.0308e-05,5,12
2,1.9699e-05,6,18
0,1.5818e-05,7,24
0,4.1596e-05,8,32
0,3.6301e-05,9,40
1,9.5218e-05,10,50
1,4.7861e-05,11,60
1,4.8947e-05,12,72
1,7.9015e-05,13,84
0,0.000119301,14,98
0,8.7182e-05,15,112
0,0.000105899,16,128
0,0.000102352,17,144
0,0.000115524,18,162
0,0.000154934,19,180
0,0.000146026,20,200
1,0.000214205,21,220
0,9.5098e-05,22,242
0,0.000186466,23,264
0,0.000176113,24,288
0,0.000141998,25,312
0,0.00028805,26,338
0,0.000212372,27,364
0,0.00029756,28,392
0,0.000246424,29,420
0,0.000231728,30,450
0,0.000312169,31,480
0,0.000359175,32,512
0,0.000274553,33,544
0,0.000335857,34,578
0,0.000374248,35,612
0,0.000402833,36,648
0,0.000413046,37,684
0,0.000318804,38,722
0,0.000448559,39,760
0,0.000366602,40,800
0,0.000359439,41,840
0,0.000390624,42,882
0,0.00040839,43,924
0,0.000528866,44,968
0,0.000451224,45,1012
0,0.00046829,46,1058
0,0.000644978,47,1104
0,0.000707922,48,1152
0,0.000483417,49,1200
0,0.000962361,50,1250
