tam,tiempo,agentes,votos
1,3.548e-06,1,0
2,3.334e-06,2,2
0,3.6e-06,3,4
2,7.075e-06,4,8
0,1.5104e-05,5,12
2,2.3228e-05,6,18
0,2.0417e-05,7,24
0,2.4006e-05,8,32
1,3.3733e-05,9,40
0,4.1732e-05,10,50
0,8.9789e-05,11,60
0,0.000110347,12,72
1,5.9463e-05,13,84
0,0.000100186,14,98
0,8.1716e-05,15,112
0,6.6895e-05,16,128
0,0.000176479,17,144
0,0.000132855,18,162
0,0.000232559,19,180
0,0.000175343,20,200
0,0.000167891,21,220
0,0.000293903,22,242
0,0.000169547,23,264
0,0.000183941,24,288
0,0.000243914,25,312
0,0.00026797,26,338
0,0.000186469,27,364
0,0.000167212,28,392
0,0.000321256,29,420
0,0.000215116,30,450
0,0.000357346,31,480
0,0.000247519,32,512
0,0.000216681,33,544
0,0.00024326,34,578
0,0.000381024,35,612
0,0.000473446,36,648
0,0.000465648,37,684
0,0.000314019,38,722
0,0.000336469,39,760
0,0.00045514,40,800
0,0.000328198,41,840
0,0.000430393,42,882
0,0.00037554,43,924
0,0.000474937,44,968
0,0.000408899,45,1012
0,0.000406619,46,1058
0,0.000596373,47,1104
0,0.0004478,48,1152
0,0.000513792,49,1200
0,0.000603384,50,1250
