tam,tiempo,agentes,votos
1,4.311e-06,1,0
2,4.411e-06,2,2
0,4.251e-06,3,4
2,8.798e-06,4,8
0,2.0965e-05,5,12
2,1.919e-05,6,18
0,4.4384e-05,7,24
0,3.7141e-05,8,32
1,3.6149e-05,9,40
0,3.3108e-05,10,50
0,0.000105195,11,60
0,5.1613e-05,12,72
1,7.1763e-05,13,84
0,7.7011e-05,14,98
0,7.9814e-05,15,112
0,6.861e-05,16,128
0,0.000110541,17,144
0,0.000102806,18,162
0,0.000121853,19,180
0,8.5201e-05,20,200
0,0.000127541,21,220
0,0.000245082,22,242
0,0.000147763,23,264
0,0.000138248,24,288
0,0.000187622,25,312
0,0.000226652,26,338
0,0.00014129,27,364
0,0.000156746,28,392
0,0.000266503,29,420
0,0.000187105,30,450
0,0.00023432,31,480
0,0.000220063,32,512
0,0.000217234,33,544
0,0.000226046,34,578
0,0.000265545,35,612
0,0.00034141,36,648
0,0.000276801,37,684
0,0.000319122,38,722
0,0.000333601,39,760
0,0.000379911,40,800
0,0.000338095,41,840
0,0.000391201,42,882
0,0.000377944,43,924
0,0.000463432,44,968
0,0.000399626,45,1012
0,0.000408881,46,1058
0,0.000480733,47,1104
0,0.000447771,48,1152
0,0.00047377,49,1200
0,0.000500968,50,1250
