tam,tiempo,agentes,votos
1,4.046e-06,1,0
1,3.588e-06,2,2
2,5.981e-06,3,4
1,1.0841e-05,4,8
1,2.1054e-05,5,12
2,2.665e-05,6,18
0,1.6014e-05,7,24
0,4.1442e-05,8,32
0,3.6239e-05,9,40
1,9.7221e-05,10,50
1,4.9609e-05,11,60
1,5.0858e-05,12,72
1,8.1518e-05,13,84
0,0.000118565,14,98
0,8.6508e-05,15,112
0,0.000105641,16,128
0,0.000102916,17,144
0,0.000115252,18,162
0,0.000155223,19,180
0,0.000146041,20,200
1,0.000217253,21,220
0,9.5088e-05,22,242
0,0.000185969,23,264
0,0.00017113,24,288
0,0.000141804,25,312
0,0.000290547,26,338
0,0.000211441,27,364
0,0.000296973,28,392
0,0.00024656,29,420
0,0.000230937,30,450
0,0.000312698,31,480
0,0.000360119,32,512
0,0.000275688,33,544
0,0.000335322,34,578
0,0.000374583,35,612
0,0.000403923,36,648
0,0.000414418,37,684
0,0.000320548,38,722
0,0.000450412,39,760
0,0.000367437,40,800
0,0.000360582,41,840
0,0.000387657,42,882
0,0.000408961,43,924
0,0.000528564,44,968
0,0.000451058,45,1012
0,0.000467372,46,1058
0,0.000640167,47,1104
0,0.000707543,48,1152
0,0.000482052,49,1200
0,0.000961055,50,1250
