tam,tiempo,agentes,votos
1,3.954e-06,1,0
2,4.296e-06,2,2
0,3.744e-06,3,4
2,9.461e-06,4,8
0,1.5304e-05,5,12
2,3.1087e-05,6,18
0,2.0615e-05,7,24
0,2.4111e-05,8,32
1,3.5674e-05,9,40
0,4.1783e-05,10,50
0,8.9349e-05,11,60
0,0.000110404,12,72
1,6.1634e-05,13,84
0,0.000100571,14,98
0,8.1816e-05,15,112
0,6.6969e-05,16,128
0,0.000176406,17,144
0,0.000134998,18,162
0,0.000231897,19,180
0,0.000175125,20,200
0,0.00016915,21,220
0,0.000294133,22,242
0,0.000170412,23,264
0,0.000185312,24,288
0,0.000244924,25,312
0,0.000269027,26,338
0,0.000182024,27,364
0,0.000167666,28,392
0,0.000321363,29,420
0,0.000215508,30,450
0,0.000356497,31,480
0,0.000247266,32,512
0,0.000216844,33,544
0,0.000243229,34,578
0,0.000383428,35,612
0,0.00047484,36,648
0,0.000463789,37,684
0,0.000314531,38,722
0,0.000337047,39,760
0,0.000451731,40,800
0,0.000328966,41,840
0,0.000430866,42,882
0,0.000376545,43,924
0,0.000451682,44,968
0,0.000412296,45,1012
0,0.00040735,46,1058
0,0.00059591,47,1104
0,0.000447725,48,1152
0,0.000483777,49,1200
0,0.000618738,50,1250
