tam,tiempo,agentes,votos
0,7.3482e-05,20,400
0,6.9691e-05,20,399
0,6.9638e-05,20,398
0,6.9443e-05,20,397
0,6.9672e-05,20,396
0,6.9348e-05,20,395
0,6.957e-05,20,394
0,6.9482e-05,20,393
0,6.9873e-05,20,392
0,6.9447e-05,20,391
0,6.9614e-05,20,390
0,6.9404e-05,20,389
0,6.9682e-05,20,388
0,7.3209e-05,20,387
0,0.000103186,20,386
0,6.97e-05,20,385
0,6.9654e-05,20,384
0,7.422e-05,20,383
0,6.9404e-05,20,382
0,6.9042e-05,20,381
0,6.9356e-05,20,380
0,7.3173e-05,20,379
0,6.9391e-05,20,378
0,6.9225e-05,20,377
0,6.937e-05,20,376
0,6.9241e-05,20,375
0,6.9425e-05,20,374
0,6.9261e-05,20,373
0,6.9762e-05,20,372
0,6.9245e-05,20,371
0,6.931e-05,20,370
0,6.8944e-05,20,369
0,6.9456e-05,20,368
0,6.9697e-05,20,367
0,6.9232e-05,20,366
0,6.9257e-05,20,365
0,6.9156e-05,20,364
0,6.9278e-05,20,363
0,6.9216e-05,20,362
0,6.9349e-05,20,361
0,6.9304e-05,20,360
0,6.9077e-05,20,359
0,6.9482e-05,20,358
0,6.9163e-05,20,357
0,6.9533e-05,20,356
0,6.9227e-05,20,355
0,7.3597e-05,20,354
0,6.9591e-05,20,353
0,6.9295e-05,20,352
0,6.9493e-05,20,351
0,6.9319e-05,20,350
0,7.3527e-05,20,349
0,6.909e-05,20,348
0,6.8876e-05,20,347
0,6.9376e-05,20,346
0,6.9344e-05,20,345
0,6.926e-05,20,344
0,6.9141e-05,20,343
0,6.9417e-05,20,342
0,8.0417e-05,20,341
0,6.9222e-05,20,340
0,6.9377e-05,20,339
0,6.9227e-05,20,338
0,6.9154e-05,20,337
0,6.9071e-05,20,336
0,6.9312e-05,20,335
0,6.9229e-05,20,334
0,6.9245e-05,20,333
0,0.000112547,20,332
0,6.9244e-05,20,331
0,6.9313e-05,20,330
0,6.9166e-05,20,329
0,6.9221e-05,20,328
0,7.3203e-05,20,327
0,7.717e-05,20,326
0,6.9478e-05,20,325
0,6.9356e-05,20,324
0,6.8999e-05,20,323
0,6.9423e-05,20,322
0,6.9279e-05,20,321
0,6.9438e-05,20,320
0,7.3199e-05,20,319
0,6.927e-05,20,318
0,7.3019e-05,20,317
0,8.3921e-05,20,316
0,6.9157e-05,20,315
0,7.3148e-05,20,314
0,8.0715e-05,20,313
0,6.9389e-05,20,312
0,6.9348e-05,20,311
0,6.9144e-05,20,310
0,6.9212e-05,20,309
0,6.9301e-05,20,308
0,6.9389e-05,20,307
0,6.8993e-05,20,306
0,6.9481e-05,20,305
0,9.1158e-05,20,304
0,8.0731e-05,20,303
0,7.3453e-05,20,302
