tam,tiempo,agentes,votos
0,7.5648e-05,20,400
0,7.2982e-05,20,399
0,7.3166e-05,20,398
0,7.2859e-05,20,397
0,7.2782e-05,20,396
0,7.2935e-05,20,395
0,7.2834e-05,20,394
0,9.2514e-05,20,393
0,7.2387e-05,20,392
0,7.281e-05,20,391
0,7.2481e-05,20,390
0,7.2673e-05,20,389
0,7.2898e-05,20,388
0,7.256e-05,20,387
0,7.2549e-05,20,386
0,7.2784e-05,20,385
0,7.2628e-05,20,384
0,7.2757e-05,20,383
0,7.2624e-05,20,382
0,7.2697e-05,20,381
0,7.2661e-05,20,380
0,7.2527e-05,20,379
0,7.2604e-05,20,378
0,7.2457e-05,20,377
0,7.2495e-05,20,376
0,7.2404e-05,20,375
0,7.6959e-05,20,374
0,7.6679e-05,20,373
0,7.2724e-05,20,372
0,7.2462e-05,20,371
0,7.2743e-05,20,370
0,7.2598e-05,20,369
0,7.2641e-05,20,368
0,7.2651e-05,20,367
0,8.0911e-05,20,366
0,7.254e-05,20,365
0,7.264e-05,20,364
0,7.6562e-05,20,363
0,7.2759e-05,20,362
0,7.2838e-05,20,361
0,7.2605e-05,20,360
0,7.2674e-05,20,359
0,7.2517e-05,20,358
0,7.2605e-05,20,357
0,7.251e-05,20,356
0,7.2783e-05,20,355
0,7.2817e-05,20,354
0,7.2564e-05,20,353
0,7.2598e-05,20,352
0,7.2855e-05,20,351
0,7.2564e-05,20,350
0,7.6374e-05,20,349
0,7.2542e-05,20,348
0,7.2649e-05,20,347
0,7.2606e-05,20,346
0,7.2439e-05,20,345
0,7.2702e-05,20,344
0,7.2772e-05,20,343
0,9.2861e-05,20,342
0,7.2407e-05,20,341
0,7.2671e-05,20,340
0,7.2416e-05,20,339
0,7.3004e-05,20,338
0,7.266e-05,20,337
0,7.2792e-05,20,336
0,7.6739e-05,20,335
0,7.2756e-05,20,334
0,7.2833e-05,20,333
0,7.2598e-05,20,332
0,7.252e-05,20,331
0,7.6842e-05,20,330
0,7.2459e-05,20,329
0,7.2534e-05,20,328
0,7.6556e-05,20,327
0,7.6523e-05,20,326
0,0.000106294,20,325
0,7.2883e-05,20,324
0,7.6801e-05,20,323
0,7.2574e-05,20,322
0,7.6307e-05,20,321
0,7.6903e-05,20,320
0,7.2651e-05,20,319
0,7.691e-05,20,318
0,7.2765e-05,20,317
